"","time","date","country","iso3","risk_mean","risk_sd","Risk_p_mean","Risk_p_sd","stringency_index"
"127",19120,2022-05-08,"Central African Republic","CAF",0,0,0,0,18.52
"128",19120,2022-05-08,"Chile","CHL",0.132231616934879,0.0181996371054323,0.18116401826946,0.0249344254081824,27.01
"129",19120,2022-05-08,"China","CHN",0,0,0,0,79.17
"130",19120,2022-05-08,"Colombia","COL",0.0628299637109149,0.0371111790884309,0.0805822286916953,0.0475967411676682,22.03
"131",19120,2022-05-08,"Congo","COG",0,0,0,0,37.4
"132",19120,2022-05-08,"Costa Rica","CRI",0,0,0,0,11.11
"133",19120,2022-05-08,"Croatia","HRV",0,0,0,0,5.56
"134",19120,2022-05-08,"Cuba","CUB",0,0,0,0,18.52
"135",19120,2022-05-08,"Cura鑾絘o","CUW",0,0,0,0,15.66
"136",19120,2022-05-08,"Cyprus","CYP",0,0,0,0,39.67
"137",19120,2022-05-08,"Czechia","CZE",0.136364319060271,0.0139893110775105,0.160070805329582,0.0164213065823577,14.81
"138",19120,2022-05-08,"Democratic Republic of the Congo","COD",0,0,0,0,28.7
"139",19120,2022-05-08,"Denmark","DNK",0.189726178710808,0.0163239676343538,0.213439283058621,0.0183642340357226,11.11
"140",19120,2022-05-08,"Dominican Republic","DOM",0,0,0,0,5.56
"141",19120,2022-05-08,"Ecuador","ECU",0.0848086132758772,0.040858758373239,0.113289625001172,0.0545802275891518,25.14
"142",19120,2022-05-08,"Egypt","EGY",0,0,0,0,40.74
"143",19120,2022-05-08,"El Salvador","SLV",0,0,0,0,28.63
"144",19120,2022-05-08,"Estonia","EST",0,0,0,0,22.32
"145",19120,2022-05-08,"Finland","FIN",0,0,0,0,26.85
"146",19120,2022-05-08,"France","FRA",0.214347481042906,0.0139475798520068,0.263942225148265,0.0171747073660963,18.79
"147",19120,2022-05-08,"Georgia","GEO",0,0,0,0,17.59
"148",19120,2022-05-08,"Germany","DEU",0.216214076306316,0.0145570547773673,0.274731990224035,0.0184968929826776,21.3
"149",19120,2022-05-08,"Ghana","GHA",0,0,0,0,44.88
"150",19120,2022-05-08,"Gibraltar","GIB",0,0,0,0,27.59
