"","day_to_inflection","time_dependent_coefficient","NonMSM","MSM","Nt_p","Risk_posterior","country","iso3","time"
"111",0,0,0,0,0,0,"Andorra","AND",19120
"112",0,0,0,0,0,0,"United Arab Emirates","ARE",19120
"113",0.329931018897734,0.246251281278513,0,0,0,0.0864273450264371,"Argentina","ARG",19120
"114",0.883154187801689,0.514329601514562,0,0,0,0.209622568397438,"Australia","AUS",19120
"115",0.858938342353823,0.507479336420525,0,0,0,0.204962651816152,"Austria","AUT",19120
"116",0.869658264422588,0.768399048864003,0,0,0,0.245708596992989,"Belgium","BEL",19120
"117",0,0,0,0,0,0,"Benin","BEN",19120
"118",0,0,0,0,0,0,"Bulgaria","BGR",19120
"119",0,0,0,0,0,0,"Bahrain","BHR",19120
"120",0,0,0,0,0,0,"Bahamas","BHS",19120
"121",0,0,0,0,0,0,"Bosnia and Herzegovina","BIH",19120
"122",0,0,0,0,0,0,"Bermuda","BMU",19120
"123",0.476521581501586,0.151211442473102,0,0,0,0.0941599535962032,"Bolivia (Plurinational State of)","BOL",19120
"124",0.768335393834449,0.641587605420613,0,0,0,0.211488449888259,"Brazil","BRA",19120
"125",0,0,0,0,0,0,"Barbados","BRB",19120
"126",0,0,0,0,0,0,"Central African Republic","CAF",19120
"127",0.881528601105199,0.407629699226156,0,0,0,0.193373745049703,"Canada","CAN",19120
"128",0.848270317319336,0.664300348121364,0,0,0,0.226885599816105,"Switzerland","CHE",19120
"129",0.708125551781249,0.386685326536002,0,0,0,0.164221631747588,"Chile","CHL",19120
"130",0,0,0,0,0,0,"China","CHN",19120
"131",0,0,0,0,0,0,"Cameroon","CMR",19120
"132",0,0,0,0,0,0,"Democratic Republic of the Congo","COD",19120
"133",0,0,0,0,0,0,"Congo","COG",19120
"134",0.186494968600128,0.211274111150262,0,0,0,0.0596653619625585,"Colombia","COL",19120
"135",0,0,0,0,0,0,"Costa Rica","CRI",19120
"136",0,0,0,0,0,0,"Cuba","CUB",19120
"137",0,0,0,0,0,0,"Cura鑾絘o","CUW",19120
"138",0,0,0,0,0,0,"Cyprus","CYP",19120
"139",0.89515569247982,0.28373742312565,0,0,0,0.17683396734082,"Czechia","CZE",19120
"140",0.857763177991861,0.921907347051243,0,0,0,0.266950578756466,"Germany","DEU",19120
"141",0.863451038503746,0.548231809623789,0,0,0,0.21175242721913,"Denmark","DNK",19120
"142",0,0,0,0,0,0,"Dominican Republic","DOM",19120
"143",0,0.158289330667359,0,0,0,0.0237433996001039,"Ecuador","ECU",19120
"144",0,0,0,0,0,0,"Egypt","EGY",19120
"145",0.863604687034756,0.729533724855287,0,0,0,0.238970761783506,"Spain","ESP",19120
"146",0,0,0,0,0,0,"Estonia","EST",19120
"147",0,0,0,0,0,0,"Finland","FIN",19120
"148",0.856576877274775,0.849915492849369,0,0,0,0.255973855518622,"France","FRA",19120
"149",0.86482883364565,0.953192100065951,0,1,1,0.87270314005674,"The United Kingdom","GBR",19120
"150",0,0,0,0,0,0,"Georgia","GEO",19120
"151",0,0,0,0,0,0,"Ghana","GHA",19120
"152",0,0,0,0,0,0,"Gibraltar","GIB",19120
"153",0,0,0,0,0,0,"Guadeloupe","GLP",19120
"154",0.87846474048466,0.409959340340678,0,0,0,0.193263612123801,"Greece","GRC",19120
"155",0,0,0,0,0,0,"Greenland","GRL",19120
"156",1,0,0,0,0,0.15,"Guatemala","GTM",19120
"157",0,0,0,0,0,0,"Guam","GUM",19120
"158",0,0,0,0,0,0,"Guyana","GUY",19120
"159",0,0,0,0,0,0,"Honduras","HND",19120
"160",0,0,0,0,0,0,"Croatia","HRV",19120
"161",0.887666650196513,0.534693821073225,0,0,0,0.213354070690461,"Hungary","HUN",19120
"162",0,0,0,0,0,0,"Indonesia","IDN",19120
"163",0,0,0,0,0,0,"India","IND",19120
"164",0.843947141365761,0.517318335757207,0,0,0,0.204189821568445,"Ireland","IRL",19120
"165",0,0,0,0,0,0,"Iran (Islamic Republic of)","IRN",19120
"166",0,0,0,0,0,0,"Iceland","ISL",19120
"167",0.865830092661679,0.594312982030287,0,0,0,0.219021461203795,"Israel","ISR",19120
"168",0.851082989774242,0.687490073714488,0,0,0,0.23078595952331,"Italy","ITA",19120
"169",0,0,0,0,0,0,"Jamaica","JAM",19120
"170",0,0,0,0,0,0,"Jordan","JOR",19120
"171",0,0,0,0,0,0,"Japan","JPN",19120
"172",0,0,0,0,0,0,"Republic of Korea","KOR",19120
"173",0,0,0,0,0,0,"Lebanon","LBN",19120
"174",0,0,0,0,0,0,"Liberia","LBR",19120
"175",0,0,0,0,0,0,"Lithuania","LTU",19120
"176",0.895236156500593,0.399384142311591,0,0,0,0.194193044821828,"Luxembourg","LUX",19120
"177",0,0,0,0,0,0,"Latvia","LVA",19120
"178",0,0,0,0,0,0,"Saint Martin","MAF",19120
"179",0,0,0,0,0,0,"Morocco","MAR",19120
"180",0,0,0,0,0,0,"Monaco","MCO",19120
"181",0,0,0,0,0,0,"Republic of Moldova","MDA",19120
"182",0.779747569513865,0.499393509843154,0,0,0,0.191871161903553,"Mexico","MEX",19120
"183",0,0,0,0,0,0,"Malta","MLT",19120
"184",0,0,0,0,0,0,"Montenegro","MNE",19120
"185",0,0,0,0,0,0,"Mozambique","MOZ",19120
"186",0,0,0,0,0,0,"Martinique","MTQ",19120
"187",0,0,0,0,0,0,"New Caledonia","NCL",19120
"188",0.834999931163322,0.350376560947485,0,0,0,0.177806473816621,"Nigeria","NGA",19120
"189",0.90109550210874,1,0,0,0,0.285164325316311,"Netherlands","NLD",19120
"190",0.892905457326682,0.52164503720314,0,0,0,0.212182574179473,"Norway","NOR",19120
"191",0,0,0,0,0,0,"New Zealand","NZL",19120
"192",0,0,0,0,0,0,"Panama","PAN",19120
"193",0.703639731835384,0.413105113717857,0,0,0,0.167511726832986,"Peru","PER",19120
"194",0,0,0,0,0,0,"Philippines","PHL",19120
"195",0.84266192921562,0.386217626080731,0,0,0,0.184331933294453,"Poland","POL",19120
"196",0.796701955779876,0.316524565280386,0,0,0,0.166983978159039,"Puerto Rico","PRI",19120
"197",0.870188064017544,0.65977334417163,0,0,0,0.229494211228376,"Portugal","PRT",19120
"198",0,0,0,0,0,0,"Paraguay","PRY",19120
"199",0,0,0,0,0,0,"Qatar","QAT",19120
